source_scope,indicator,window_days,outcome_horizon,direction,n_events,raw_hit_rate,excess_hit_rate,excess_hit_ci_low,excess_hit_ci_high,avg_directional_return_pct,median_directional_return_pct,avg_win_pct,avg_loss_pct,payoff_ratio,profit_factor,avg_directional_excess_pct,median_directional_excess_pct,excess_payoff_ratio,excess_profit_factor,avg_max_favorable_excess,avg_max_adverse_excess,updated_at
youtube,author_net,90,20D,bull,15,0.3333333333333333,0.3333333333333333,0.1517632443971473,0.5828645226148023,0.021818538717440668,-0.018731369831086586,0.20634883622885888,-0.07044661003826844,2.9291521070604363,1.4645760535302181,0.012648590491616167,-0.022240561520682767,2.5194094281602166,1.2597047140801083,0.08954339156957918,-0.08972786502891664,2026-07-19T13:02:28+00:00
youtube,author_net,90,5D,all,19,0.7894736842105263,0.7894736842105263,0.5666572155618583,0.9149232336708375,0.026745499686441267,0.03498443489125602,0.05611841121864057,-0.08340291855930612,0.672859082008454,2.5232215575317025,0.022124710167820097,0.01815464873248618,0.6770186406126668,2.5388199022975004,0.04434660666297315,-0.029818872169481564,2026-07-19T13:02:28+00:00
youtube,author_net,90,5D,bull,19,0.7894736842105263,0.7894736842105263,0.5666572155618583,0.9149232336708375,0.026745499686441267,0.03498443489125602,0.05611841121864057,-0.08340291855930612,0.672859082008454,2.5232215575317025,0.022124710167820097,0.01815464873248618,0.6770186406126668,2.5388199022975004,0.04434660666297315,-0.029818872169481564,2026-07-19T13:02:28+00:00
youtube,author_net,90,60D,all,8,0.25,0.25,0.071479212752109,0.5907245696898311,-0.0742690685569233,-0.05479082666802282,0.13281868718508605,-0.14329832047092642,0.9268684151258663,0.30895613837528874,-0.10953446383809483,-0.10510394609069507,0.46453658395012454,0.15484552798337486,0.057556123812131404,-0.18707368522768622,2026-07-19T13:02:28+00:00
youtube,author_net,90,60D,bull,8,0.25,0.25,0.071479212752109,0.5907245696898311,-0.0742690685569233,-0.05479082666802282,0.13281868718508605,-0.14329832047092642,0.9268684151258663,0.30895613837528874,-0.10953446383809483,-0.10510394609069507,0.46453658395012454,0.15484552798337486,0.057556123812131404,-0.18707368522768622,2026-07-19T13:02:28+00:00
youtube,author_net,90,90D,all,7,0.42857142857142855,0.14285714285714285,0.02567962434474355,0.5131278292743189,-0.1243736661530245,-0.15392882732266544,0.02972241695390121,-0.2399457284832188,0.12387141518120387,0.0929035613859029,-0.16460256612108015,-0.19440155449271557,0.16366754172066866,0.027277923620111444,0.0611614078504782,-0.219437756357647,2026-07-19T13:02:28+00:00
youtube,author_net,90,90D,bull,7,0.42857142857142855,0.14285714285714285,0.02567962434474355,0.5131278292743189,-0.1243736661530245,-0.15392882732266544,0.02972241695390121,-0.2399457284832188,0.12387141518120387,0.0929035613859029,-0.16460256612108015,-0.19440155449271557,0.16366754172066866,0.027277923620111444,0.0611614078504782,-0.219437756357647,2026-07-19T13:02:28+00:00
youtube,author_net_shift,7,1D,all,1,1.0,1.0,0.20654931437723745,1.0,0.014844944169537966,0.014844944169537966,0.014844944169537966,,,,0.010988817582209931,0.010988817582209931,,,0.010988817582209931,0.010988817582209931,2026-07-19T13:02:28+00:00
youtube,author_net_shift,7,1D,bull,1,1.0,1.0,0.20654931437723745,1.0,0.014844944169537966,0.014844944169537966,0.014844944169537966,,,,0.010988817582209931,0.010988817582209931,,,0.010988817582209931,0.010988817582209931,2026-07-19T13:02:28+00:00
youtube,author_net_shift,7,5D,all,1,0.0,0.0,0.0,0.7934506856227626,-0.11583201637348117,-0.11583201637348117,,-0.11583201637348117,,,-0.11406351693860328,-0.11406351693860328,,,0.019096129689188945,-0.11406351693860328,2026-07-19T13:02:28+00:00
youtube,author_net_shift,7,5D,bull,1,0.0,0.0,0.0,0.7934506856227626,-0.11583201637348117,-0.11583201637348117,,-0.11583201637348117,,,-0.11406351693860328,-0.11406351693860328,,,0.019096129689188945,-0.11406351693860328,2026-07-19T13:02:28+00:00
youtube,author_net_shift,90,1D,all,2,0.0,0.5,0.09453120573423074,0.9054687942657693,-0.003015593723755594,-0.003015593723755594,,-0.003015593723755594,,,0.002190402929165003,0.002190402929165003,2.5603191259582334,2.5603191259582334,0.002190402929165003,0.002190402929165003,2026-07-19T13:02:28+00:00
youtube,author_net_shift,90,1D,bear,1,0.0,1.0,0.20654931437723745,1.0,-0.0005983097748858413,-0.0005983097748858413,,-0.0005983097748858413,,,0.0071884403899131755,0.0071884403899131755,,,0.0071884403899131755,0.0071884403899131755,2026-07-19T13:02:28+00:00
youtube,author_net_shift,90,1D,bull,1,0.0,0.0,0.0,0.7934506856227626,-0.005432877672625347,-0.005432877672625347,,-0.005432877672625347,,,-0.0028076345315831697,-0.0028076345315831697,,,-0.0028076345315831697,-0.0028076345315831697,2026-07-19T13:02:28+00:00
youtube,author_net_shift,90,20D,all,1,0.0,0.0,0.0,0.7934506856227626,-0.0634956248597709,-0.0634956248597709,,-0.0634956248597709,,,-0.02767932075078372,-0.02767932075078372,,,0.04680521449942787,-0.15975921704441398,2026-07-19T13:02:28+00:00
youtube,author_net_shift,90,20D,bear,1,0.0,0.0,0.0,0.7934506856227626,-0.0634956248597709,-0.0634956248597709,,-0.0634956248597709,,,-0.02767932075078372,-0.02767932075078372,,,0.04680521449942787,-0.15975921704441398,2026-07-19T13:02:28+00:00
youtube,author_net_shift,90,5D,all,2,0.5,0.5,0.09453120573423074,0.9054687942657693,0.0026091413995211754,0.0026091413995211754,0.022344900105152554,-0.017126617306110203,1.3046884685851328,1.3046884685851328,0.0016001656460487013,0.0016001656460487013,1.9508084559312278,1.9508084559312278,0.006877338528338606,-0.039561899489761354,2026-07-19T13:02:28+00:00
youtube,author_net_shift,90,5D,bear,1,0.0,0.0,0.0,0.7934506856227626,-0.017126617306110203,-0.017126617306110203,,-0.017126617306110203,,,-0.0033659053746666334,-0.0033659053746666334,,,0.0071884403899131755,-0.020282663160815728,2026-07-19T13:02:28+00:00
youtube,author_net_shift,90,5D,bull,1,1.0,1.0,0.20654931437723745,1.0,0.022344900105152554,0.022344900105152554,0.022344900105152554,,,,0.006566236666764036,0.006566236666764036,,,0.006566236666764036,-0.05884113581870698,2026-07-19T13:02:28+00:00
