sample,signal_type,horizon_sessions,dimension,bucket,n,benchmark_n,tickers,raw_match_rate,raw_match_ci_low,raw_match_ci_high,net_match_rate_10bps,mean_directional_return,median_directional_return,mean_directional_excess,median_directional_excess,mean_excess_ci_low,mean_excess_ci_high
all_events,smart_alpha_ui,1,source_count,1,43,43,30,0.4186046511627907,0.2838433433748524,0.5667168424428823,0.3953488372093023,0.0014425396517886177,-0.0029585081358974863,0.00037149630360434796,-0.003548186323340863,-0.017265124435444416,0.018643764298983134
all_events,smart_alpha_ui,1,source_count,2,29,29,18,0.5862068965517241,0.40737528478515245,0.7448706472035449,0.5517241379310345,0.0029247969859223454,0.004288934548863921,0.0008500969886974433,0.005550078275761039,-0.009825598113701633,0.013364982863746983
all_events,smart_alpha_ui,1,agreement,unanimous,72,72,42,0.4861111111111111,0.3743248074300839,0.5993044408980104,0.4583333333333333,0.0020395599669258135,-0.00033332776927119667,0.0005642660239890669,-0.00028772845142227554,-0.010026709935151876,0.012683739680866056
all_events,smart_alpha_ui,1,period,first_half_through_2026-01-26,31,31,21,0.5806451612903226,0.40765964352020967,0.7358469692645074,0.5161290322580645,0.005117677066087796,0.0031134649333974806,0.004663676748947625,0.0013947012779658152,-0.008172996931362593,0.020917086460718163
all_events,smart_alpha_ui,1,period,second_half_after_2026-01-26,41,41,30,0.4146341463414634,0.2775633082533015,0.5663316464316339,0.4146341463414634,-0.0002877968641478807,-0.0029585081358974863,-0.0025352884265893547,-0.002388889081380463,-0.017707509320944864,0.015938818656897096
all_events,smart_alpha_ui,1,consensus_overlap,overlap,41,41,23,0.4878048780487805,0.34254187239935696,0.635157406841348,0.4634146341463415,0.00019290636194420712,-0.0006061655697955359,-0.0008872719176797585,0.0013186562406959368,-0.012097920539071702,0.012450370124452178
all_events,smart_alpha_ui,1,consensus_overlap,standalone,31,31,25,0.4838709677419355,0.3196998603127883,0.6515988171302683,0.45161290322580644,0.004481908283191809,-6.0489968746857414e-05,0.0024840420113575136,-0.002388889081380463,-0.0170788770326452,0.022261543746624528
all_events,smart_alpha_ui,5,direction,bear,9,9,8,0.4444444444444444,0.188775429471914,0.7333526542559703,0.4444444444444444,-0.008131261332474389,-0.017261286225609185,-0.011715485546462536,-0.006259506982872254,-0.05627955812191812,0.02306717271649203
all_events,smart_alpha_ui,5,direction,bull,63,63,38,0.5555555555555556,0.4331942064087128,0.6715309946636732,0.5555555555555556,-0.003999115190420165,0.006517579526429174,-0.005485673946918527,-0.0004974441001202035,-0.031222075756348427,0.02367004355114697
all_events,smart_alpha_ui,5,source_count,1,43,43,30,0.5116279069767442,0.36752063766074083,0.6538279072224399,0.5116279069767442,-0.012368340519735507,0.0034266133637921303,-0.010181757390674307,-0.0011255767914037929,-0.0385989378950476,0.01583810856643295
