source,strategy,rank_band_pct,signal_window_days,holding_days,position_mode,n_input_events,average_top_authors,average_bottom_authors,average_top_consensus,average_bottom_consensus,start_day,end_day,trading_days,active_days,n_trades,overlap_skipped,exposure_pct,average_positions,total_return_0bps,annualized_return_0bps,total_return_10bps,annualized_return_10bps,annualized_volatility_10bps,sharpe_10bps,max_drawdown_10bps,trade_hit_rate_10bps,average_trade_return_10bps,profit_factor_10bps,total_return_25bps,annualized_return_25bps,benchmark_annualized_return
x,bottom_contrarian,10,7,1,long_short,273,1.1245421245421245,2.36996336996337,0.2799872085586371,0.9532879818594103,2025-08-05,2026-07-16,234,98,273,0,0.4188034188034188,1.1666666666666667,0.10883127775972046,0.11767788494790676,0.005246974852382458,0.005651726792911038,0.5208817126735835,0.2714956455572954,-0.30133399285431195,0.5787545787545788,0.004597315629559608,1.2845865613024894,-0.13243206067634872,-0.14186106024575718,0.20411281902378375
x,bottom_contrarian,10,7,1,long_only,23,1.4782608695652173,2.5652173913043477,0.3898550724637681,0.8478260869565217,2025-12-15,2026-07-15,141,19,23,0,0.1347517730496454,0.16312056737588654,-0.07861237582078384,-0.1361264013594483,-0.09606340971527882,-0.16515032869998203,0.31774712910168895,-0.40477695086640186,-0.1734950744629542,0.5217391304347826,-0.0052108756023455174,0.7580405711881506,-0.12165403284500131,-0.20691951535832476,0.1871036222908955
x,bottom_contrarian,10,7,1,short_only,250,1.092,2.352,0.26987936507936505,0.9629904761904762,2025-08-05,2026-07-16,234,91,250,0,0.3888888888888889,1.0683760683760684,0.18952313448059477,0.2055099732782919,0.08605797588632869,0.09297677389630099,0.5221275847408587,0.42933464906706476,-0.318839930889812,0.584,0.005499669222894879,1.351209157692602,-0.0526754790949403,-0.05661059894693643,0.20411281902378375
x,bottom_contrarian,10,7,5,long_short,209,1.062200956937799,2.186602870813397,0.27178552441710335,0.9595693779904306,2025-08-05,2026-07-10,230,181,194,15,0.7869565217391304,4.208695652173913,-0.4330490820383798,-0.463003381965749,-0.4535451973040534,-0.48423633835887614,0.7515597029046318,-0.4681710978895239,-0.668835113246711,0.5051546391752577,0.0035716652631759796,1.0790342876738108,-0.4829211295796869,-0.5145350544996847,0.21546848135844932
x,bottom_contrarian,10,7,5,long_only,20,1.7,2.5,0.44833333333333336,0.8541666666666666,2025-12-15,2026-07-02,137,63,20,0,0.45985401459854014,0.7299270072992701,-0.12108836755785568,-0.2113361698681655,-0.13263129645140315,-0.23028317201354676,0.40260011373632987,-0.4414521844680759,-0.3259092380530788,0.5,-0.015973959075149702,0.6487617023194966,-0.14967143521078818,-0.2578686617020095,0.16406474569356044
x,bottom_contrarian,10,7,5,short_only,189,0.9947089947089947,2.1534391534391535,0.25310321659528007,0.9707231040564374,2025-08-05,2026-07-10,230,180,182,7,0.782608695652174,3.9478260869565216,-0.46430812224053875,-0.4953559025502903,-0.48318871904292016,-0.5148103074907027,0.8071211690586151,-0.45976376623107984,-0.7140577114652868,0.489010989010989,0.0036207987461945503,1.0791080841409113,-0.5102810862953494,-0.5426068857857522,0.21546848135844932
x,bottom_contrarian,10,7,20,long_short,162,1.037037037037037,2.185185185185185,0.2666519694297472,0.9581275720164609,2025-08-05,2026-07-15,233,226,111,51,0.9699570815450643,9.49785407725322,0.316696243955243,0.3465703804166107,0.2995567233758889,0.3276227341919977,0.4831496251456242,0.8300427782048808,-0.3239173668862164,0.5855855855855856,0.009497152422548403,1.1211298199010193,0.2742579967471528,0.2996924214534642,0.21217540707020643
x,bottom_contrarian,10,7,20,long_only,16,1.75,2.4375,0.4510416666666667,0.8802083333333334,2025-12-15,2026-07-02,137,121,13,3,0.8832116788321168,1.897810218978102,0.19811938154443598,0.39442234277798716,0.19067699333828214,0.37853129907613847,0.49846289397964666,0.897404562487014,-0.27953495334751277,0.6153846153846154,-0.001023858180788343,0.9789544740081649,0.17959528411658265,0.3550236739145822,0.16406474569356044
x,bottom_contrarian,10,7,20,short_only,146,0.958904109589041,2.1575342465753424,0.24644487932159165,0.9666666666666666,2025-08-05,2026-07-15,233,225,107,39,0.9656652360515021,9.15450643776824,0.1619338734033371,0.17624187144266146,0.14706142060327587,0.15996710219611776,0.5274941575503271,0.5477224881138647,-0.32938423599527644,0.5700934579439252,0.007788701452910662,1.0958862830029694,0.12510282346445623,0.13596954175832243,0.21217540707020643
x,bottom_contrarian,10,7,60,long_short,99,0.9797979797979798,2.1818181818181817,0.2622895622895623,0.9617845117845119,2025-08-05,2026-07-16,234,234,56,43,1.0,14.35897435897436,0.03749972669960089,0.040441907044181935,0.03240685060467885,0.0349427577226924,0.4311574094681851,0.2963856628095307,-0.34617783330824803,0.6071428571428571,0.02314307250137912,1.2159782232952208,0.02481277013840444,0.0267467536311099,0.20411281902378375
x,bottom_contrarian,10,7,60,long_only,11,2.0,2.3636363636363638,0.47424242424242424,0.9166666666666667,2025-12-15,2026-05-13,103,103,8,3,1.0,4.660194174757281,0.018270872610688826,0.04529390136876188,0.015512426770444954,0.03837955022567874,0.42188477301314614,0.2999335581197214,-0.2415633652276622,0.375,0.004453887886923191,1.0404919049220465,0.01138732083892191,0.02809009943119478,0.2140212757106319
x,bottom_contrarian,10,7,60,short_only,88,0.8522727272727273,2.159090909090909,0.23579545454545456,0.9674242424242425,2025-08-05,2026-07-16,234,234,53,35,1.0,13.58974358974359,-0.025714564770508153,-0.027665000200022716,-0.030481739209805347,-0.03278763710317767,0.45646087435378335,0.15606787688433307,-0.3896907067542129,0.6037735849056604,0.007412401865112191,1.0650285835575408,-0.037590324932651686,-0.04042267095539043,0.20411281902378375
x,bottom_contrarian,10,7,90,long_short,86,0.9767441860465116,2.197674418604651,0.2631782945736434,0.9598837209302326,2025-08-05,2026-07-02,229,229,45,41,1.0,17.685589519650655,-0.09263982591564546,-0.10145620847000436,-0.096431099289773,-0.1055868588892308,0.34191639499130827,-0.15485037516051633,-0.2703585001710489,0.6444444444444445,0.035764253936984895,1.291393641982729,-0.10208970657648764,-0.11174875892155323,0.19848330093421196
x,bottom_contrarian,10,7,90,long_only,10,2.2,2.4,0.5216666666666667,0.9083333333333334,2025-12-15,2026-06-26,133,133,8,2,1.0,5.413533834586466,0.2407855879757934,0.5049797833604281,0.2374311059158829,0.49727992624227424,0.43779929323083233,1.141336447996742,-0.2374000003420852,0.5,0.23908068159164514,4.938255765073073,0.23241460550124993,0.4857998901099021,0.12286660648368586
x,bottom_contrarian,10,7,90,short_only,76,0.8157894736842105,2.1710526315789473,0.22916666666666669,0.9666666666666667,2025-08-05,2026-07-02,229,229,43,33,1.0,16.88646288209607,-0.1177091419383246,-0.12873712904666357,-0.12085092564004296,-0.1321506377617283,0.371853460953776,-0.19476196017583647,-0.3265961072800596,0.627906976744186,-0.011768378148556849,0.9112565765728872,-0.12554357356904688,-0.13724685861143737,0.19848330093421196
