source,indicator,signal_window_days,holding_days,position_mode,n_input_signals,start_day,end_day,trading_days,active_days,n_trades,overlap_skipped,exposure_pct,average_positions,total_return_0bps,annualized_return_0bps,total_return_10bps,annualized_return_10bps,annualized_volatility_10bps,sharpe_10bps,max_drawdown_10bps,trade_hit_rate_10bps,average_trade_return_10bps,profit_factor_10bps,total_return_25bps,annualized_return_25bps,benchmark_annualized_return
x,author_net,7,90,short_only,33,2025-09-25,2026-07-16,198,198,22,11,1.0,10.0,0.04214572441387854,0.05394519610988935,0.03835859766301297,0.04907306109763865,0.4445378617627597,0.3249887142493603,-0.382113878345811,0.7727272727272727,-0.1110145070705899,0.4974987470153786,0.03270214823111761,0.04180506855880428,0.1828146733475957
x,author_net,7,180,long_short,33,2025-08-27,2026-07-15,217,217,20,13,1.0,16.589861751152075,0.16775203582036258,0.1973293775337046,0.1640370318233284,0.19290704330872854,0.2513299432069755,0.8273976825613457,-0.24964388788859404,0.6,0.10221847508755402,1.8009169392412092,0.1584849002526021,0.18630203979333926,0.20123185384960296
x,author_net,7,180,long_only,27,2025-08-27,2026-07-14,216,216,18,9,1.0,15.0,0.16450716301236468,0.1944441790544036,0.16102132360473154,0.19027385867479119,0.29194934285504587,0.7423260944721273,-0.2502600740725891,0.6111111111111112,0.11535506157195242,1.8446238144239908,0.15581048438543554,0.18404370875889708,0.1967161626806937
x,author_net,7,180,short_only,6,2025-09-25,2026-07-15,197,197,5,1,1.0,4.568527918781726,-0.3600164770284944,-0.4349934518478533,-0.3613066947871605,-0.4364501169673898,0.34200389687176036,-1.5058426454844405,-0.4054250548132393,0.2,-0.3841083750672592,0.031347541768442025,-0.3632379687209425,-0.4386290039520109,0.1920796831174274
x,author_net,14,1,long_short,581,2025-08-27,2026-07-16,218,170,581,0,0.7798165137614679,2.6605504587155964,-0.36854636475737135,-0.4122372433731314,-0.4675838636525933,-0.5174343063346302,0.3545553954486106,-1.8769919710334722,-0.47450396346893753,0.47676419965576594,-0.0031088320717244035,0.7771076849520325,-0.5879251209537042,-0.6411387653676457,0.19270736230453456
x,author_net,14,1,long_only,525,2025-08-27,2026-07-16,218,156,525,0,0.7155963302752294,2.403669724770642,-0.35811806689189063,-0.401002208108578,-0.4511495034484134,-0.5001744456174388,0.3615692959253917,-1.7360092722867912,-0.48844445885827037,0.4838095238095238,-0.002661029062581316,0.8071275259889711,-0.5661653973213545,-0.6191446409091668,0.19270736230453456
x,author_net,14,1,short_only,56,2025-09-25,2026-07-16,198,41,56,0,0.20707070707070707,0.2828282828282828,-0.2778159284356272,-0.3391584606212882,-0.3070802178048637,-0.37305006969432397,0.21790865006202953,-2.0295846463350777,-0.37280508105190935,0.4107142857142857,-0.007306985282440849,0.5243451182136708,-0.34881935824556276,-0.4207143177556285,0.1828146733475957
x,author_net,14,5,long_short,540,2025-08-27,2026-07-15,217,217,508,32,1.0,11.68663594470046,-0.03109856599887284,-0.036023091588407774,-0.07286785844294519,-0.08411298589224225,0.3207812626437905,-0.1133237298289203,-0.342937869875086,0.4881889763779528,0.003958284254779492,1.1155001409098027,-0.13218963145414453,-0.15180959264062333,0.20123185384960296
x,author_net,14,5,long_only,488,2025-08-27,2026-07-15,217,217,463,25,1.0,10.654377880184331,-0.037360702092792075,-0.0432545102940064,-0.07880277419231452,-0.09091803037988777,0.376442897826472,-0.0641483580913684,-0.3716988829219079,0.4924406047516199,0.005950212700725578,1.17595755838383,-0.13766525702682852,-0.1580214522927037,0.20123185384960296
x,author_net,14,5,short_only,52,2025-09-25,2026-07-13,195,143,52,0,0.7333333333333333,1.3282051282051281,-0.5526396593389911,-0.646375802640393,-0.5653951245590245,-0.6593512027396053,0.4600400816515819,-2.1005427566101056,-0.6133273102922652,0.4423076923076923,-0.014776693942448037,0.5913494272652756,-0.5838599142439194,-0.6779373629953984,0.18271066522209978
x,author_net,14,20,long_short,490,2025-08-27,2026-07-14,216,216,324,166,1.0,29.98611111111111,0.15215898834686237,0.17968071817500908,0.13868585694179214,0.16360232661718155,0.3205949179278843,0.6332099285967561,-0.22488820385076325,0.5,0.01169517197151564,1.1807570242560308,0.11876765446835957,0.1398907215416736,0.1967161626806937
x,author_net,14,20,long_only,443,2025-08-27,2026-07-14,216,216,305,138,1.0,28.22685185185185,0.10350670561796704,0.1217708214436255,0.09065195882006227,0.10654024607151835,0.37003562639687143,0.45880333502267934,-0.22584656894433264,0.5049180327868853,0.011813320529959823,1.1813209255422328,0.07164680622130781,0.084077389117998,0.1967161626806937
x,author_net,14,20,short_only,47,2025-09-25,2026-06-25,188,188,41,6,1.0,4.361702127659575,0.1658168773985591,0.2283241953606472,0.1551375821538037,0.2132654462496133,0.35887647348144963,0.7178658714799914,-0.22055907346162107,0.5365853658536586,0.02508597282495954,1.690481803754072,0.13929773135638257,0.19101708824538632,0.1585670983258678
x,author_net,14,60,long_short,310,2025-08-27,2026-07-15,217,217,132,178,1.0,36.49769585253456,0.23579519179542774,0.27872330974182447,0.22889271674663259,0.2704328281518087,0.2913287794496682,0.9674388151764005,-0.19219676068616598,0.5075757575757576,0.06084832032565061,1.6269155331188712,0.21860907502294236,0.25809520196282554,0.20123185384960296
x,author_net,14,60,long_only,272,2025-08-27,2026-07-15,217,217,125,147,1.0,34.56221198156682,0.32681298581215956,0.3887297258239857,0.31941733890338364,0.37974449118975073,0.332732303888087,1.1340945107349638,-0.20188299903254092,0.528,0.10878904401180972,2.3592407785460625,0.3083987825095842,0.3663727267631731,0.20123185384960296
x,author_net,14,60,short_only,38,2025-09-25,2026-07-13,195,195,27,11,1.0,8.307692307692308,-0.16559896911818006,-0.20860720770770036,-0.16921311723299737,-0.21303425166166745,0.36161746913142945,-0.4814761583508774,-0.34851782285303345,0.5185185185185185,-0.04476850096055321,0.6595681067035079,-0.17460637290025938,-0.21963009380193388,0.18271066522209978
x,author_net,14,90,long_short,226,2025-08-27,2026-07-16,218,218,82,144,1.0,33.85321100917431,0.13776524681512803,0.16090003066659886,0.13258872705082614,0.15479665964042333,0.3289843560404061,0.6019400106753444,-0.2314978250246068,0.524390243902439,0.04261039245527973,1.3143478732471927,0.12486613332425356,0.14569943141673392,0.19270736230453456
x,author_net,14,90,long_only,192,2025-08-27,2026-07-16,218,218,77,115,1.0,31.788990825688074,0.20350936241597362,0.23878699852791718,0.1981044759886157,0.23235826430672057,0.36732063816261457,0.752335360272936,-0.22892954871866877,0.5324675324675324,0.08608040237255117,1.8049745427529267,0.19004057378671213,0.22277522755197454,0.19270736230453456
