selection_rank,strategy,rank_band_pct,window_days,holding_days,position_mode,condition,execution_filter,n_input_events,full_n_trades,full_trading_days,full_annualized_return,full_total_return,full_sharpe,full_max_drawdown,full_hit_rate,full_exposure,full_benchmark_annualized_return,early_n_trades,early_trading_days,early_annualized_return,early_total_return,early_sharpe,early_max_drawdown,early_hit_rate,early_exposure,early_benchmark_annualized_return,late_n_trades,late_trading_days,late_annualized_return,late_total_return,late_sharpe,late_max_drawdown,late_hit_rate,late_exposure,late_benchmark_annualized_return,min_half_annualized_return,selection_annualized_return_50bps,selection_sharpe_50bps,selection_max_drawdown_50bps,late_excess_vs_benchmark,late_annualized_return_50bps,late_annualized_return_100bps,late_annualized_return_lag2_50bps
11,bottom_contrarian,25,45,3,short_only,strength_top50,price10_adv50m,187,186,237,0.009344484436965006,0.008785829051371374,0.24594811272433162,-0.49109793847321015,0.5,0.7383966244725738,0.1997291534303105,77,119,1.2776221369949687,0.47506375275629686,2.2462665260002197,-0.1326087529176434,0.5324675324675324,0.6302521008403361,0.21040479158186742,107,118,-0.5369705000488376,-0.3026995770620572,-1.297253313922795,-0.4560680754915727,0.4766355140186916,0.8305084745762712,0.17273788205048435,-0.5369705000488376,0.8343220145839296,1.717798228054132,-0.14751076634253546,-0.709708382099322,-0.6489809867098928,-0.7518556864573646,-0.03045027623704888
12,bottom_contrarian,25,30,3,long_short,strength_top25,price10_adv50m,122,122,237,0.051414011565720896,0.04828097302355405,0.3245606674505394,-0.41916172461934864,0.5,0.6455696202531646,0.1997291534303105,36,119,1.1125260011921307,0.4235697533994174,2.504774602005102,-0.12662281242561024,0.6111111111111112,0.453781512605042,0.21040479158186742,84,118,-0.4783002308023244,-0.2626374175895584,-1.1179702008233683,-0.4191617246193491,0.4523809523809524,0.8050847457627118,0.17273788205048435,-0.4783002308023244,0.806347334115838,2.025992330269081,-0.1373979695336769,-0.6510381128528088,-0.601057902272206,-0.7149065284410303,-0.0956950619332756
13,bottom_contrarian,10,21,3,short_only,consensus_80,price10_adv50m,205,204,237,0.6771555906002034,0.6263195872692056,1.199093322734351,-0.3603154143209041,0.5588235294117647,0.7510548523206751,0.1997291534303105,58,119,1.237971721297216,0.4628813866564052,1.8539263050846744,-0.23070797090474882,0.6724137931034483,0.6554621848739496,0.21040479158186742,144,118,0.35894021614438554,0.15444060313297703,0.8062225476170015,-0.3603154143209043,0.5208333333333334,0.847457627118644,0.17273788205048435,0.35894021614438554,0.7945458750217944,1.415963224757879,-0.2497868147816672,0.1862023340939012,0.02208502950496749,-0.2846071481784559,-0.5216291109230986
14,bottom_contrarian,10,21,3,short_only,consensus_90,price10_adv50m,203,202,237,0.6906993489049844,0.638668122472394,1.2141747939000347,-0.3603154143209043,0.5594059405940595,0.7510548523206751,0.1997291534303105,58,119,1.237971721297216,0.4628813866564052,1.8539263050846744,-0.23070797090474882,0.6724137931034483,0.6554621848739496,0.21040479158186742,142,118,0.38107103069048187,0.16320619295884664,0.8325748806055306,-0.3603154143209043,0.5211267605633803,0.847457627118644,0.17273788205048435,0.38107103069048187,0.7945458750217944,1.415963224757879,-0.2497868147816672,0.20833314863999752,0.038765017047941885,-0.27290149877606096,-0.4855981232305133
15,bottom_contrarian,25,30,3,short_only,strength_top25,price10_adv50m,114,114,237,-0.008006105270877972,-0.007531350598169784,0.1991697513892127,-0.4942101245582379,0.5,0.6371308016877637,0.1997291534303105,35,119,1.0556770294827382,0.40534919849197437,2.4014955916208054,-0.12662281242561058,0.6,0.453781512605042,0.21040479158186742,78,118,-0.4710124200611402,-0.2578319633679662,-0.9507339746039412,-0.4745138773671487,0.46153846153846156,0.7966101694915254,0.17273788205048435,-0.4710124200611402,0.760235418101556,1.9308024948099982,-0.13739796953367667,-0.6437503021116245,-0.5925049253152452,-0.7061093667161372,-0.004819040797475638
16,top_follow,5,14,40,long_short,consensus_80,price10_adv50m,166,104,237,0.24955767519436245,0.2330963223104352,0.8345452294796291,-0.1821645116149312,0.5384615384615384,0.869198312236287,0.1997291534303105,24,119,0.7911387294057053,0.3168407121960668,1.890137919982982,-0.1821645116149312,0.5,0.7478991596638656,0.21040479158186742,65,118,0.1679751319387217,0.07541489891037001,0.5948337797611444,-0.17572081525242123,0.6,0.923728813559322,0.17273788205048435,0.1679751319387217,0.7374734593505647,1.802957948763912,-0.18369540744424262,-0.004762750111762637,0.12430756731245363,0.07196252458097407,0.7177062508615701
17,top_follow,5,14,40,long_short,consensus_90,price10_adv50m,166,104,237,0.24955767519436245,0.2330963223104352,0.8345452294796291,-0.1821645116149312,0.5384615384615384,0.869198312236287,0.1997291534303105,24,119,0.7911387294057053,0.3168407121960668,1.890137919982982,-0.1821645116149312,0.5,0.7478991596638656,0.21040479158186742,65,118,0.1679751319387217,0.07541489891037001,0.5948337797611444,-0.17572081525242123,0.6,0.923728813559322,0.17273788205048435,0.1679751319387217,0.7374734593505647,1.802957948763912,-0.18369540744424262,-0.004762750111762637,0.12430756731245363,0.07196252458097407,0.7177062508615701
18,bottom_contrarian,10,21,10,long_short,consensus_80,price10_adv50m,198,184,237,0.5763303679106926,0.5342019326314673,1.1937860129773936,-0.33570013698941836,0.6195652173913043,0.9156118143459916,0.1997291534303105,49,119,0.8758410137911059,0.34588897334899604,1.4857556926172888,-0.24282611777388596,0.6326530612244898,0.8487394957983193,0.21040479158186742,123,118,0.8934040917855075,0.3484047716313874,1.5872203832254144,-0.3357001369894186,0.6097560975609756,0.9830508474576272,0.17273788205048435,0.8758410137911059,0.7242811184751765,1.3221440219250913,-0.24597111785981207,0.7206662097350232,0.697712866818043,0.4810946076506115,0.1693752084737732
19,bottom_contrarian,10,21,10,long_short,consensus_90,price10_adv50m,197,183,237,0.5974667523908148,0.5535412552195338,1.2212245019739705,-0.33570013698941825,0.6229508196721312,0.9156118143459916,0.1997291534303105,49,119,0.8758410137911059,0.34588897334899604,1.4857556926172888,-0.24282611777388596,0.6326530612244898,0.8487394957983193,0.21040479158186742,122,118,0.944739811120187,0.36540203535738147,1.6423467799765288,-0.33570013698941825,0.6147540983606558,0.9830508474576272,0.17273788205048435,0.8758410137911059,0.7242811184751765,1.3221440219250913,-0.24597111785981207,0.7720019290697027,0.743748172906401,0.5212626039846495,0.17691212896969022
20,bottom_contrarian,10,30,3,short_only,consensus_80,price10_adv50m,198,197,237,0.9411107924198079,0.8659692029026642,1.4521609373146578,-0.3828533538428641,0.5532994923857868,0.759493670886076,0.1997291534303105,60,119,1.1257980280116806,0.4277861557579532,1.761512702361263,-0.2174784937268045,0.7,0.6470588235294118,0.21040479158186742,136,118,0.8425998818600546,0.3313404805417284,1.279440552424418,-0.3828533538428639,0.49264705882352944,0.8728813559322034,0.17273788205048435,0.8425998818600546,0.7124337413456312,1.3295839136135423,-0.2338517237015061,0.6698619998095703,0.38438096349976014,-0.032330724967839064,0.015476044775895037
