breakdown_type,group_value,source_scope,indicator,window_days,outcome_horizon,direction,cost_bps,n_events,raw_hit_rate,excess_hit_rate,excess_hit_ci_low,excess_hit_ci_high,avg_directional_return_pct,median_directional_return_pct,avg_win_pct,avg_loss_pct,payoff_ratio,profit_factor,avg_directional_excess_pct,median_directional_excess_pct,excess_profit_factor
position_policy,non_overlapping_same_ticker,all,author_net,3,5D,all,0,348,0.5172413793103449,0.4913294797687861,0.43903837005461566,0.5438110040012043,0.00796363108627248,0.002632280396932307,0.0771589687647591,-0.06617423071210604,1.1659972157506848,1.2492827311614478,0.004387713657807718,-0.001488406387501029,1.1426366439456193
position_policy,non_overlapping_same_ticker,all,author_net,3,60D,all,0,81,0.5061728395061729,0.4444444444444444,0.3411955250345785,0.5527242622356897,0.12343737708613689,0.0022863331428055744,0.39967542067376893,-0.15970661759118596,2.502560173785977,2.5651241781306267,0.08493699788215095,-0.015057692955967594,1.925146599496189
position_policy,non_overlapping_same_ticker,all,author_net,3,90D,all,0,52,0.5961538461538461,0.5,0.36885862959780547,0.6311413704021945,0.12126027416541467,0.03789028456757715,0.3273663982272451,-0.18299162325919213,1.7889693112539822,2.640859459470164,0.0837166739370725,0.00014698091451809114,1.9017361268790944
position_policy,non_overlapping_same_ticker,all,author_net,30,1D,all,0,551,0.5372050816696915,0.5309090909090909,0.4891323899236177,0.5722570193712316,0.00012291516955601826,0.0018418572774778763,0.022343521944483767,-0.02607950692088378,0.8567463339037159,1.0103462742450195,-0.0004065881783265582,0.0010808116573436943,0.964224764375636
position_policy,non_overlapping_same_ticker,all,author_net,30,20D,all,0,358,0.4888268156424581,0.4553072625698324,0.4044677739068567,0.5070957044621126,4.658006415350588e-05,-0.003956771460867481,0.13267273596786366,-0.12678171110059666,1.0464658886216853,1.0007187459496991,-0.011298176533847138,-0.01139799464993635,0.8329964696499846
position_policy,non_overlapping_same_ticker,all,author_net,30,5D,all,0,501,0.5129740518962076,0.496,0.45237314911404547,0.539687845609647,0.006198046128796418,0.0019680481592960763,0.0753299464116379,-0.06661711113632761,1.1307897494606158,1.1910367443089274,0.00255759679503849,-0.0006142335201798632,1.08001425975809
position_policy,non_overlapping_same_ticker,all,author_net,30,60D,all,0,166,0.5301204819277109,0.4397590361445783,0.36646063291194464,0.5157824887682894,0.04308103392271188,0.014505729200653239,0.27003316383550524,-0.21296752290197807,1.267954663490135,1.430512953681178,0.00903349163418883,-0.03409480877666721,1.0796912744360587
position_policy,non_overlapping_same_ticker,all,author_net,30,90D,all,0,103,0.5242718446601942,0.4563106796116505,0.36342238345230693,0.5523406536744683,0.014252392286836287,0.013333333333333197,0.3044026686900629,-0.305505055177944,0.9963915933003497,1.0980642048616098,-0.02075964563883145,-0.027669641402492617,0.8702843811877715
position_policy,non_overlapping_same_ticker,all,author_net,7,1D,all,0,582,0.46048109965635736,0.45266781411359724,0.41263672934829093,0.4933206901019222,-0.0027276288989094527,-0.0022692506730135897,0.024944516811049238,-0.02651477732220031,0.9407779106695976,0.8081041027546544,-0.003102224873829718,-0.001889845846199334,0.7699068774018292
position_policy,non_overlapping_same_ticker,all,author_net,7,20D,all,0,289,0.5294117647058824,0.5017301038062284,0.4444410920800055,0.5589737249477034,0.020712354303882737,0.014175814677154452,0.15701942911552141,-0.13263310485921076,1.1838630278782707,1.3318459063630543,0.00906024833769859,0.0005565390717054974,1.1428044666086075
