indicator,config_id,param_a_name,param_a,param_b_name,param_b,param_c_name,param_c,window_days,horizon_days,split_day,split,raw_events,n_events,n_tickers,n_months,max_ticker_share,excess_hit_rate,excess_hit_ci_low,excess_hit_ci_high,avg_directional_excess_pct,median_directional_excess_pct,excess_payoff_ratio,excess_profit_factor,positive_month_rate,avg_monthly_excess_pct,monthly_lcb_score
weighted_net,min_same_authors=2;min_consensus=0.75;min_strength=0,min_same_authors,2,min_consensus,0.75,min_strength,0.0,7,20,2026-03-12,all,481,287,132,11,0.0313588850174216,0.49477351916376305,0.4373824316037787,0.5523026703340108,0.00970434046267939,-0.0011863147734505475,1.1766757055110482,1.1523306909142679,0.6363636363636364,0.020058891280400074,-0.0032286214843128824
weighted_net,min_same_authors=2;min_consensus=0.75;min_strength=0,min_same_authors,2,min_consensus,0.75,min_strength,0.0,7,20,2026-03-12,train,187,112,58,7,0.05357142857142857,0.5178571428571429,0.42626984959636616,0.6082601022941003,0.0078065533484164215,0.0034044936176476637,1.0596436574973318,1.138135780274912,0.7142857142857143,0.03419858780642455,0.005231587167824486
weighted_net,min_same_authors=2;min_consensus=0.75;min_strength=0,min_same_authors,2,min_consensus,0.75,min_strength,0.0,7,20,2026-03-12,test,252,152,110,4,0.019736842105263157,0.4868421052631579,0.4086917071593119,0.5656411819815536,0.01027458781188868,-0.004925289711233682,1.2000856834906117,1.1385428279269905,0.5,-0.0029393059651552913,-0.04477627169754591
weighted_net,min_same_authors=2;min_consensus=0.75;min_strength=1.5,min_same_authors,2,min_consensus,0.75,min_strength,1.5,7,20,2026-03-12,all,469,280,131,11,0.02857142857142857,0.5035714285714286,0.44535708654038986,0.5616891004694627,0.01036674507682101,0.0005628357604415268,1.1479758556085924,1.164493493818788,0.5454545454545454,0.014359871962764397,-0.006664199807547079
weighted_net,min_same_authors=2;min_consensus=0.75;min_strength=1.5,min_same_authors,2,min_consensus,0.75,min_strength,1.5,7,20,2026-03-12,train,181,109,58,7,0.05504587155963303,0.5229357798165137,0.4299950906023555,0.6143148647301524,0.011170200870510077,0.005659076138051167,1.1009385928068114,1.2067980728843895,0.5714285714285714,0.02599889402100847,0.0020734597929730238
weighted_net,min_same_authors=2;min_consensus=0.75;min_strength=1.5,min_same_authors,2,min_consensus,0.75,min_strength,1.5,7,20,2026-03-12,test,247,149,109,4,0.020134228187919462,0.4899328859060403,0.4109336453613852,0.569438172448078,0.00775944797525942,-0.0038199312046720557,1.1483830051399753,1.1030520970423447,0.5,-0.0061615860552473095,-0.04892963231062058
weighted_net,min_same_authors=2;min_consensus=0.75;min_strength=3,min_same_authors,2,min_consensus,0.75,min_strength,3.0,7,20,2026-03-12,all,378,223,114,11,0.03587443946188341,0.515695067264574,0.45039438426263906,0.5804641723539148,0.015669140960126858,0.0011499110972441606,1.1814272233008698,1.2580012099962967,0.7272727272727273,0.014733478226840534,-0.0046734441168642706
weighted_net,min_same_authors=2;min_consensus=0.75;min_strength=3,min_same_authors,2,min_consensus,0.75,min_strength,3.0,7,20,2026-03-12,train,122,73,39,7,0.0821917808219178,0.5068493150684932,0.39472240623307775,0.6182914018771178,0.01568623592207269,0.0005565390717054974,1.3390350251617151,1.3762304425273184,0.8571428571428571,0.024490455763011208,0.006379356623677435
weighted_net,min_same_authors=2;min_consensus=0.75;min_strength=3,min_same_authors,2,min_consensus,0.75,min_strength,3.0,7,20,2026-03-12,test,221,133,101,4,0.022556390977443608,0.5112781954887218,0.4272083071737977,0.5947148733144412,0.014774564154926836,0.0017905298799216762,1.1431435343464793,1.1959040051624705,0.5,-0.0007773491399225489,-0.048479915821967354
weighted_net,min_same_authors=2;min_consensus=0.75;min_strength=5,min_same_authors,2,min_consensus,0.75,min_strength,5.0,7,20,2026-03-12,all,177,108,50,11,0.07407407407407407,0.5185185185185185,0.42527864654226755,0.6104862660597117,0.03325445872583003,0.004782367432731527,1.5620198374917653,1.6821752096065163,0.6363636363636364,0.01808623165518111,0.000842945469034951
