top_percentile,min_same_authors,min_consensus,window_days,horizon_days,split_day,split,raw_events,n_events,n_tickers,n_months,max_ticker_share,excess_hit_rate,excess_hit_ci_low,excess_hit_ci_high,avg_directional_excess_pct,median_directional_excess_pct,excess_payoff_ratio,excess_profit_factor,positive_month_rate,avg_monthly_excess_pct,monthly_lcb_score
5,8,0.6,7,20,2026-03-12,train,0,0,0,0,,,,,,,,,,,
5,8,0.6,7,20,2026-03-12,test,0,0,0,0,,,,,,,,,,,
5,8,0.67,7,20,2026-03-12,all,0,0,0,0,,,,,,,,,,,
5,8,0.67,7,20,2026-03-12,train,0,0,0,0,,,,,,,,,,,
5,8,0.67,7,20,2026-03-12,test,0,0,0,0,,,,,,,,,,,
5,8,0.75,7,20,2026-03-12,all,0,0,0,0,,,,,,,,,,,
5,8,0.75,7,20,2026-03-12,train,0,0,0,0,,,,,,,,,,,
5,8,0.75,7,20,2026-03-12,test,0,0,0,0,,,,,,,,,,,
5,8,0.8,7,20,2026-03-12,all,0,0,0,0,,,,,,,,,,,
5,8,0.8,7,20,2026-03-12,train,0,0,0,0,,,,,,,,,,,
5,8,0.8,7,20,2026-03-12,test,0,0,0,0,,,,,,,,,,,
5,10,0.55,7,20,2026-03-12,all,0,0,0,0,,,,,,,,,,,
5,10,0.55,7,20,2026-03-12,train,0,0,0,0,,,,,,,,,,,
5,10,0.55,7,20,2026-03-12,test,0,0,0,0,,,,,,,,,,,
5,10,0.6,7,20,2026-03-12,all,0,0,0,0,,,,,,,,,,,
5,10,0.6,7,20,2026-03-12,train,0,0,0,0,,,,,,,,,,,
5,10,0.6,7,20,2026-03-12,test,0,0,0,0,,,,,,,,,,,
5,10,0.67,7,20,2026-03-12,all,0,0,0,0,,,,,,,,,,,
5,10,0.67,7,20,2026-03-12,train,0,0,0,0,,,,,,,,,,,
5,10,0.67,7,20,2026-03-12,test,0,0,0,0,,,,,,,,,,,
5,10,0.75,7,20,2026-03-12,all,0,0,0,0,,,,,,,,,,,
5,10,0.75,7,20,2026-03-12,train,0,0,0,0,,,,,,,,,,,
5,10,0.75,7,20,2026-03-12,test,0,0,0,0,,,,,,,,,,,
5,10,0.8,7,20,2026-03-12,all,0,0,0,0,,,,,,,,,,,
5,10,0.8,7,20,2026-03-12,train,0,0,0,0,,,,,,,,,,,
5,10,0.8,7,20,2026-03-12,test,0,0,0,0,,,,,,,,,,,
10,2,0.55,7,20,2026-03-12,all,512,295,133,11,0.030508474576271188,0.488135593220339,0.4316150076374913,0.5449612009393783,0.005122807219285143,-0.001956657939990558,1.1315878357811622,1.0791301215396512,0.5454545454545454,0.01566521884046201,-0.006571600506437066
10,2,0.55,7,20,2026-03-12,train,204,117,59,7,0.05128205128205128,0.5213675213675214,0.43161942117123564,0.6097571067918954,0.004394162951275005,0.005659076138051167,0.9899464255877962,1.0783344993009922,0.5714285714285714,0.02824119399104461,8.983851207337509e-05
10,2,0.55,7,20,2026-03-12,test,264,155,111,4,0.01935483870967742,0.4774193548387097,0.400286462053026,0.5556444387837522,0.004738690504862195,-0.007065578107517956,1.1629158121615417,1.0624169148142482,0.5,-0.005512652142861508,-0.04440900390288311
10,2,0.6,7,20,2026-03-12,all,512,295,133,11,0.030508474576271188,0.488135593220339,0.4316150076374913,0.5449612009393783,0.005122807219285143,-0.001956657939990558,1.1315878357811622,1.0791301215396512,0.5454545454545454,0.01566521884046201,-0.006571600506437066
