asof_day,source,segment_type,segment_key,population,ranked_rows
2025-07-31,x,horizon,90D,3,3
2025-07-31,x,investor_type,flow_momentum,8,8
2025-07-31,x,investor_type,fundamental,3,3
2025-07-31,x,investor_type,technical,6,6
2025-07-31,x,narrative,ai_infra,1,1
2025-07-31,x,narrative,crypto,2,2
2025-07-31,x,narrative,ev,1,1
2025-07-31,x,narrative,semis,2,2
2025-08-01,x,horizon,180D,3,3
2025-08-01,x,horizon,1D,22,22
2025-08-01,x,horizon,20D,5,5
2025-08-01,x,horizon,5D,20,20
2025-08-01,x,horizon,60D,4,4
2025-08-01,x,horizon,90D,3,3
2025-08-01,x,investor_type,flow_momentum,8,8
2025-08-01,x,investor_type,fundamental,3,3
2025-08-01,x,investor_type,technical,6,6
2025-08-01,x,narrative,ai_infra,1,1
2025-08-01,x,narrative,crypto,2,2
2025-08-01,x,narrative,ev,1,1
2025-08-01,x,narrative,semis,2,2
2025-08-02,x,horizon,180D,3,3
2025-08-02,x,horizon,1D,23,23
2025-08-02,x,horizon,20D,6,6
2025-08-02,x,horizon,5D,21,21
2025-08-02,x,horizon,60D,4,4
2025-08-02,x,horizon,90D,4,4
2025-08-02,x,investor_type,flow_momentum,11,11
2025-08-02,x,investor_type,fundamental,3,3
2025-08-02,x,investor_type,technical,6,6
2025-08-02,x,narrative,ai_infra,1,1
2025-08-02,x,narrative,crypto,3,3
2025-08-02,x,narrative,ev,1,1
2025-08-02,x,narrative,semis,2,2
2025-08-02,x,narrative,software,1,1
2025-08-03,x,horizon,180D,3,3
2025-08-03,x,horizon,1D,23,23
2025-08-03,x,horizon,20D,6,6
2025-08-03,x,horizon,5D,21,21
2025-08-03,x,horizon,60D,4,4
2025-08-03,x,horizon,90D,4,4
2025-08-03,x,investor_type,flow_momentum,11,11
2025-08-03,x,investor_type,fundamental,3,3
2025-08-03,x,investor_type,technical,6,6
2025-08-03,x,narrative,ai_infra,1,1
2025-08-03,x,narrative,crypto,3,3
2025-08-03,x,narrative,ev,1,1
2025-08-03,x,narrative,semis,2,2
2025-08-03,x,narrative,software,1,1
2025-08-04,x,horizon,180D,3,3
2025-08-04,x,horizon,1D,23,23
2025-08-04,x,horizon,20D,6,6
2025-08-04,x,horizon,5D,21,21
2025-08-04,x,horizon,60D,4,4
2025-08-04,x,horizon,90D,4,4
2025-08-04,x,investor_type,flow_momentum,11,11
2025-08-04,x,investor_type,fundamental,3,3
2025-08-04,x,investor_type,technical,6,6
2025-08-04,x,narrative,ai_infra,1,1
2025-08-04,x,narrative,crypto,3,3
2025-08-04,x,narrative,ev,1,1
2025-08-04,x,narrative,semis,2,2
2025-08-04,x,narrative,software,1,1
2025-08-05,x,horizon,180D,4,4
2025-08-05,x,horizon,1D,26,26
2025-08-05,x,horizon,20D,9,9
2025-08-05,x,horizon,5D,21,21
2025-08-05,x,horizon,60D,5,5
2025-08-05,x,horizon,90D,4,4
