source_scope,segment_type,segment_key,window_days,rank_band,outcome_horizon,direction,n_events,raw_hit_rate,excess_hit_rate,excess_hit_ci_low,excess_hit_ci_high,avg_directional_return_pct,median_directional_return_pct,avg_win_pct,avg_loss_pct,payoff_ratio,profit_factor,avg_directional_excess_pct,median_directional_excess_pct,excess_payoff_ratio,excess_profit_factor,avg_max_favorable_excess,avg_max_adverse_excess,updated_at
x,horizon,90D,14,top10,90D,bull,24,0.625,0.625,0.42709962442674276,0.7884063244045122,0.4666069620926742,0.1438922512214702,0.8113331111598112,-0.10793661968588762,7.516754865224768,12.527924775374613,0.39718664994580605,0.05633921533103459,4.666009926265099,7.776683210441833,0.5553901775825626,-0.12156030729050116,2026-07-19T16:54:32+00:00
x,horizon,90D,14,top25,180D,all,7,0.42857142857142855,0.2857142857142857,0.08221892400405678,0.6410655481673808,-0.043441098392163986,-0.06240515060933549,0.16275044292946114,-0.19808475438338283,0.8216202374386978,0.6162151780790234,-0.15544434282763772,-0.18160865526890124,0.3924120258149705,0.15696481032598822,0.11607751981324177,-0.24098925175492308,2026-07-19T16:54:32+00:00
x,horizon,90D,14,top25,180D,bull,7,0.42857142857142855,0.2857142857142857,0.08221892400405678,0.6410655481673808,-0.043441098392163986,-0.06240515060933549,0.16275044292946114,-0.19808475438338283,0.8216202374386978,0.6162151780790234,-0.15544434282763772,-0.18160865526890124,0.3924120258149705,0.15696481032598822,0.11607751981324177,-0.24098925175492308,2026-07-19T16:54:32+00:00
x,horizon,90D,14,top25,1D,all,249,0.4738955823293173,0.46184738955823296,0.4009737435522565,0.5238803524151532,-0.003989493921531805,-0.0027132847918670544,0.021867084915336392,-0.027280152721153538,0.8015748716238031,0.7220292736764028,-0.003698297920773843,-0.0013129242193823387,0.8398887317583078,0.7208000309866075,-0.003698297920773843,-0.003698297920773843,2026-07-19T16:54:32+00:00
x,horizon,90D,14,top25,1D,bear,13,0.46153846153846156,0.6153846153846154,0.355228915126657,0.8229029220223743,0.012899783120812601,-0.001061655231424874,0.04029918564925924,-0.010585419046427371,3.8070467945112108,3.2631829667238947,0.015035294021364814,0.00514741547519848,2.840620187054137,4.544992299286619,0.015035294021364814,0.015035294021364814,2026-07-19T16:54:32+00:00
x,horizon,90D,14,top25,1D,bull,236,0.4745762711864407,0.4533898305084746,0.3911290231997432,0.5171437161832872,-0.0049198354535253536,-0.0030149049428894736,0.020879650947447665,-0.028222597364081628,0.739820317672845,0.6682248030593437,-0.0047302330701289395,-0.001547932806925778,0.7906190374801414,0.6557847830261638,-0.0047302330701289395,-0.0047302330701289395,2026-07-19T16:54:32+00:00
x,horizon,90D,14,top25,20D,all,190,0.5235602094240838,0.4842105263157895,0.41417047014498265,0.5548763992063769,0.04412620799251391,0.01085306967118882,0.18142952060457557,-0.10675655311964173,1.699469637252601,1.8675490519259352,0.03210129144879536,-0.0024576195584706806,1.7437205372566262,1.6369621370164247,0.13665802413233039,-0.07668703483806648,2026-07-19T16:54:32+00:00
x,horizon,90D,14,top25,20D,bear,9,0.4444444444444444,0.4444444444444444,0.18877852109766452,0.733348706504507,0.024932951108201484,-0.045619360823003774,0.1707557989698708,-0.09172532718113398,1.8615992356470088,1.489279388517607,0.0353856962062838,-0.007955750914809379,2.3540938719616245,1.8832750975692996,0.10189803433343683,-0.03763018637127096,2026-07-19T16:54:32+00:00
x,horizon,90D,14,top25,20D,bull,181,0.5274725274725275,0.4861878453038674,0.4144212302346959,0.5585285612682469,0.0450753250911887,0.012000415350502558,0.18187425900602158,-0.10763046160443869,1.689802833647989,1.8862915352349645,0.03193797850505284,-0.001956657939990558,1.7197861836085466,1.6273245608338935,0.13837692472678115,-0.07861841745455636,2026-07-19T16:54:32+00:00
x,horizon,90D,14,top25,5D,all,212,0.5821596244131455,0.5566037735849056,0.4893137079186866,0.6218790172006219,0.018852397878418102,0.00956635830662167,0.0691530322419806,-0.051229384830365605,1.3498704400016721,1.8807183658450262,0.01470889537270559,0.006580669398153827,1.360675019514222,1.7080814074753001,0.047613691938308195,-0.02809836201123833,2026-07-19T16:54:32+00:00
x,horizon,90D,14,top25,5D,bear,11,0.6363636363636364,0.7272727272727273,0.43435469882387084,0.902539407099751,0.022438445787419017,0.017178049656162875,0.06388266406239408,-0.05008893619378735,1.2753847239885603,2.2319232669799804,0.030363188472699223,0.025201623609812374,1.2885602818038022,3.436160751476806,0.044936021837698986,-0.007156475141134882,2026-07-19T16:54:32+00:00
x,horizon,90D,14,top25,5D,bull,201,0.5792079207920792,0.5472636815920398,0.47820677145967233,0.6145478891905012,0.01865711804178934,0.008275318895610062,0.06946835341511827,-0.05128305300149869,1.3546064313504917,1.8645759113883238,0.013852192765243252,0.005302706870984997,1.3671136077909027,1.6525549105164756,0.047759505656658194,-0.029238761791293467,2026-07-19T16:54:32+00:00
x,horizon,90D,14,top25,60D,all,100,0.54,0.47,0.3751081795934127,0.5671114302990063,0.19006122218165913,0.02224034887183035,0.43760704351866153,-0.10053604634438715,4.352737743631121,5.109735612088707,0.14910651997481186,-0.005990417662845804,4.128850090340445,3.6614330989811497,0.29179255452203273,-0.11500547984180275,2026-07-19T16:54:32+00:00
x,horizon,90D,14,top25,60D,bear,3,0.3333333333333333,0.3333333333333333,0.06149194472039621,0.7923403991979522,-0.0631220895380074,-0.06198798903484448,0.09038901601830662,-0.1398776423161644,0.6462005973334967,0.32310029866674833,-0.03882727371232416,-0.0614195009915508,0.8033278228782237,0.40166391143911184,0.09506860974472657,-0.10963374608628296,2026-07-19T16:54:32+00:00
x,horizon,90D,14,top25,60D,bull,97,0.5463917525773195,0.4742268041237113,0.3777449221838968,0.5726722965030077,0.19789163388432923,0.023246723384686252,0.4441583270564041,-0.09874779198203364,4.497906415337521,5.417932727565651,0.15491890534657896,-0.0031075883922133674,4.189518892615545,3.778781746280688,0.2978768002367948,-0.11517161593733428,2026-07-19T16:54:32+00:00
x,horizon,90D,14,top25,90D,all,74,0.6216216216216216,0.5135135135135135,0.40181114568899073,0.6238821035165123,0.20074433651426474,0.04911282551572105,0.39860240069825714,-0.12430819750229427,3.206565686795518,5.267929342592637,0.145827835333607,0.004473674855741128,3.011600804211608,3.178911960001141,0.3025008561923558,-0.14784005194845456,2026-07-19T16:54:32+00:00
x,horizon,90D,14,top25,90D,bear,3,1.0,1.0,0.4385029682449546,1.0,0.11616830719365057,0.11242138364779874,0.11616830719365057,,,,0.1541511679437859,0.18804226704054328,,,0.18349898303994847,-0.10963374608628296,2026-07-19T16:54:32+00:00
x,horizon,90D,14,top25,90D,bull,71,0.6056338028169014,0.49295774647887325,0.38005150511212876,0.6065869167497993,0.20431797155598083,0.03282840426384559,0.418307104896253,-0.12430819750229427,3.36508060852972,5.167802363099212,0.14547614522331775,-0.008090776344979567,3.1736940546078936,3.0855358864243407,0.30752910435372505,-0.14945440290037731,2026-07-19T16:54:32+00:00
x,horizon,90D,30,top10,1D,all,107,0.45794392523364486,0.4766355140186916,0.384461146514527,0.5704293786265361,-0.001339985704519822,-0.0033369577443664866,0.026037616887617614,-0.024469339618566968,1.0640915240663325,0.8989738737801775,-0.0012042175899356752,-0.0010210629110869451,0.9847538240803213,0.8968293755017213,-0.0012042175899356752,-0.0012042175899356752,2026-07-19T16:54:32+00:00
x,horizon,90D,30,top10,1D,bear,7,0.7142857142857143,0.7142857142857143,0.35893445183261935,0.9177810759959433,0.018630768800461217,0.01444403478713474,0.02782148498046526,-0.004346021649548892,6.40159834071537,16.003995851788424,0.019738032935061284,0.013811256892175772,15.421757721098503,38.55439430274625,0.019738032935061284,0.019738032935061284,2026-07-19T16:54:32+00:00
x,horizon,90D,30,top10,1D,bull,100,0.44,0.46,0.36560808309024106,0.5573513967663177,-0.0027379385198684947,-0.005208987252851405,0.025834904604339473,-0.025188029546031897,1.025681844509726,0.8058928778290704,-0.0026701751266854624,-0.002482244666284883,0.922189267741481,0.7855686354834839,-0.0026701751266854624,-0.0026701751266854624,2026-07-19T16:54:32+00:00
x,horizon,90D,30,top10,20D,all,79,0.4430379746835443,0.4050632911392405,0.3036627826338571,0.5152684600852422,0.039153424940960635,-0.0024656828469437064,0.2074241620673735,-0.0946982977732314,2.1903684326415274,1.7423385259648512,0.02806101310122251,-0.009389208941170457,2.253920240979203,1.534583993858181,0.15137138036440337,-0.08101349234738103,2026-07-19T16:54:32+00:00
x,horizon,90D,30,top10,20D,bear,5,0.4,0.4,0.11762077423264783,0.769275718723987,0.007028947632893056,-0.042212421659979515,0.0859057674030626,-0.04555559888055331,1.8857345642257357,1.2571563761504905,0.02434245348587505,-0.007955750914809379,5.776668975349647,3.8511126502330986,0.056953881844341844,-0.015908704683126818,2026-07-19T16:54:32+00:00
x,horizon,90D,30,top10,20D,bull,74,0.44594594594594594,0.40540540540540543,0.3009056446255579,0.5192416109359206,0.04132399773204628,-0.002416906203274005,0.2147889132591499,-0.098294105009281,2.18516576593143,1.758791957944809,0.028312267129286525,-0.009923435799400526,2.2153830232165777,1.5104884249203936,0.15775094107521834,-0.08541246448685766,2026-07-19T16:54:32+00:00
x,horizon,90D,30,top10,5D,all,89,0.5274725274725275,0.5056179775280899,0.40368555240975695,0.6070854976437683,0.005147518258085508,0.006156528371788816,0.07007741756052742,-0.06733236933533801,1.0407686266247091,1.1617882343717683,0.003982671379070442,0.0010285757116855754,1.1093540540859146,1.134566646224231,0.039101240321775595,-0.03847579187628012,2026-07-19T16:54:32+00:00
x,horizon,90D,30,top10,5D,bear,5,0.6666666666666666,0.6,0.2307242812760128,0.882379225767352,0.012147113281487357,0.04221468877173917,0.05267898517693492,-0.06891663050940777,0.7643871267000458,1.5287742534000917,0.03459227174803277,0.03574924976103089,149.4294012772042,224.14410191580632,0.03344828115604539,-0.020310187673132696,2026-07-19T16:54:32+00:00
x,horizon,90D,30,top10,5D,bull,84,0.5176470588235295,0.5,0.3954393376854136,0.6045606623145864,0.004653429197610083,0.001989647363312752,0.0716590932317631,-0.06725508830245656,1.0654821076065062,1.1434442130411286,0.0021606713571083987,-0.0007499246070791776,1.068923728924753,1.0689237289247533,0.0395002727334742,-0.0397580698200317,2026-07-19T16:54:32+00:00
x,horizon,90D,30,top10,60D,all,42,0.5238095238095238,0.5,0.3552598959637448,0.6447401040362553,0.31319450839659513,0.06487812351229016,0.6929770918170844,-0.10456633336594304,6.627153018667337,7.28986832053407,0.2679657175675667,0.01200188752213932,5.837996453548135,5.837996453548135,0.429271095186287,-0.10327632319634568,2026-07-19T16:54:32+00:00
x,horizon,90D,30,top10,60D,bear,2,0.5,0.5,0.09453120573423074,0.9054687942657693,0.021423264307653567,0.021423264307653567,0.1929775098137022,-0.15013098119839507,1.285394315505647,1.285394315505647,0.03005855907456323,0.03005855907456323,1.8437704618446138,1.8437704618446138,0.07984572308368981,-0.04917571164594592,2026-07-19T16:54:32+00:00
x,horizon,90D,30,top10,60D,bull,40,0.525,0.5,0.35199526933465386,0.6480047306653461,0.3277830706010422,0.06487812351229016,0.7167865957220074,-0.10216819400634028,7.015750867413058,7.7542509587196955,0.2798610754922169,0.01200188752213932,5.964194540559607,5.964194540559606,0.44674236379141685,-0.10598135377386567,2026-07-19T16:54:32+00:00
x,horizon,90D,30,top10,90D,all,27,0.6428571428571429,0.6296296296296297,0.4422923441210239,0.784674870390344,0.28092647998371145,0.11462984006006116,0.5210859512644859,-0.15136056832168254,3.442679669100052,6.196823404380094,0.23099556568220195,0.07463405694045955,2.441326975369632,4.150255858128373,0.36956338712877873,-0.12267176901039845,2026-07-19T16:54:32+00:00
x,horizon,90D,30,top10,90D,bear,1,1.0,1.0,0.20654931437723745,1.0,0.07100566050011914,0.07100566050011914,0.07100566050011914,,,,0.14399331769451285,0.14399331769451285,,,0.23946745599328256,0.013811256892175772,2026-07-19T16:54:32+00:00
x,horizon,90D,30,top10,90D,bull,26,0.6296296296296297,0.6153846153846154,0.4253485008511553,0.7757140556428721,0.2887013251497704,0.1408093404242312,0.5475612624859193,-0.15136056832168254,3.617595180550605,6.149911806936028,0.23434180598942078,0.061871285190330694,2.5484529107233245,4.077524657157319,0.3743817549486119,-0.12772669589567898,2026-07-19T16:54:32+00:00
x,horizon,90D,30,top25,180D,all,6,0.5,0.3333333333333333,0.09677141110578041,0.700006684861608,-0.022980443213638752,-0.0025276981969982737,0.1232755286665086,-0.1692364150937861,0.7284220042015942,0.7284220042015942,-0.13411811121916026,-0.10958538270487334,0.1764617482867214,0.0882308741433607,0.11975496226669084,-0.19424720050220445,2026-07-19T16:54:32+00:00
